OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10
2,VT002,3,POOTATUCK,CT0064,13,3,B,1651,0.5,0.5,FSL-FSL-GRV-COS,101.6,1.23,0.18,400,2.33,4,34.85,61.15,4.89,0.01,0.2,0,736.6,1.33,0.15,280,0.78,3.5,35.03,61.47,5.26,0.05,0.2,0,1651,1.38,0.03,600,0.26,1,6.53,92.47,40,0.14,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,VT002,4,GROTON,CT0046,6,4,A,1828.8,0.5,0.5,GR--SL-GR--SL-GRV-LS-GRX-,203.2,1.15,0.13,280,1.45,5,30.69,64.31,26.5,0.01,0.17,0,457.2,1.38,0.09,270,0.48,4,30.91,65.1,38.81,0.09,0.17,0,762,1.45,0.06,270,0.16,3.5,16.09,80.41,40.08,0.17,0.17,0,1828.8,1.55,0.01,350,0.05,1,6.53,92.47,65,0.21,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,VT002,6,ADRIAN,MI0028,5,2,A,1524,0.5,0.5,MUCK-S,863.6,0.3,0.35,180,9.88,10,45,45,0,0.01,0.1,0,1524,1.58,0.13,450,3.29,6,1.88,92.11,12.94,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,VT002,12,BELGRADE,MA0076,3,3,B,1524,0.5,0.5,SIL-VFSL-SIL,228.6,1.05,0.21,6.8,1.74,9.5,69.16,21.34,1.01,0.01,0.49,0,1066.8,1.25,0.14,58,0.58,9.5,28.45,62.05,1.2,0.08,0.64,0,1524,1.3,0.17,2.7,0.19,11,68.02,20.98,12.47,0.16,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,VT002,18,FREDON,NJ0038,1,3,C,1524,0.5,0.5,FSL-GR--SIL-GRV-S,177.8,1.3,0.14,110,2.33,13.5,20.01,66.49,5.66,0.01,0.32,0,660.4,1.3,0.15,8.4,0.44,13.5,55.94,30.56,16.17,0.1,0.32,0,1524,1.5,0.03,250,0.15,6,1.88,92.11,40,0.17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,VT002,21,HERO,CT0047,1,3,B,1524,0.5,0.5,L-GR--FSL-GRV-COS,228.6,1.25,0.16,53,2.03,9,44.45,46.55,8.88,0.01,0.32,0,685.8,1.42,0.11,68,0.68,9,26.74,64.26,19.55,0.06,0.24,0,1524,1.55,0.02,500,0.23,2.5,6.43,91.07,39.5,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,VT003,6,GALWAY,NY0218,4,4,B,838.2,0.5,0.5,STV-SIL-GR--FSL-GRV-SL-UW,254,1.25,0.12,8.4,2.33,12.5,56.59,30.91,40,0.01,0.24,0,609.6,1.35,0.12,67,0.78,11.5,26.01,62.49,17.44,0.05,0.24,0,812.8,1.35,0.07,40,0.26,10.5,23.33,66.17,34.88,0.14,0.24,0,838.2,2.5,0.01,400,0.09,5,25,70,98,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,VT004,4,MACOMBER,NY0321,8,3,C,609.59,0.5,0.5,STV-SIL-CN--L-UWB,76.2,1.25,0.13,4.3,2.33,18.5,54.4,27.1,40,0.01,0.24,0,584.2,1.35,0.08,9.2,0.78,18.5,38.54,42.96,50,0.05,0.24,0,609.6,2.5,0.01,800,0.26,5,25,70,98,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,VT004,13,BERKSHIRE,MA0030,2,3,B,1651,0.5,0.5,STV-FSL-FSL-FSL,203.2,1.13,0.11,180,2.03,6.5,27.48,66.03,40,0.01,0.2,0,558.8,1.23,0.12,180,0.68,6.5,27.48,66.03,20.81,0.06,0.32,0,1651,1.45,0.11,130,0.23,5.5,34.3,60.2,23.73,0.15,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,VT004,19,KILLINGTON,VT0097,1,3,D,457.2,0.5,0.5,STV-L-GRV-FSL-UWB,25.4,0.8,0.11,63,3.49,7.5,45.18,47.32,45.89,0.01,0.32,0,431.8,0.8,0.09,160,1.16,5.5,34.3,60.2,47.53,0.02,0.28,0,457.2,2.5,0.01,500,0.39,5,25,70,98,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
